"TCGA-4Z-AA7R-01";"TCGA-BL-A3JM-01";"TCGA-BT-A0S7-01";"TCGA-BT-A2LA-01";"TCGA-C4-A0EZ-01";"TCGA-DK-AA6W-01";"TCGA-FJ-A871-01";"TCGA-G2-A2EL-01";"TCGA-GD-A3OS-01";"TCGA-GV-A3JZ-01";"TCGA-K4-A3WV-01";"TCGA-XF-A9ST-01";"TCGA-XF-A9T2-01";"TCGA-XF-AAMG-01";"TCGA-XF-AAMH-01";"TCGA-XF-AAN7-01";"TCGA-YC-A9TC-01";"TCGA-ZF-AA4R-01"
"TEAD3";0;0;0;0.102776326733273;0;0;0;0.0111285746850252;0;0;0.0224373391946915;0;0;0;0;0;0;0
"AES";0;0;0;0.213625510468131;0;0;0;0;0;0.0267834112968001;0;0;0;0.0238750079369141;0;0;0;0
"POU5F1";0.00279388518193634;0;0;0;0;0;0;0;0;0;0;0;0.00086670027310295;0;0;0;0;0
"TBX6";0;0;0;0;0;0.00232334390134479;0;0;0;0;0;0;0;0;0;0;0;0.0405880404768911
"ZNF554";0;0;0;0;0;0;0;0.00558443264085472;0;0;0;0.280941259165399;0.00532226859631393;0;0;0;0;0.00407378769527632
"ZBTB32";0;0.00875455296349559;0;0;0;0.0050129356056674;0;0.0035780437962101;0;0.00615053450886512;0;0;0;0;0;0;0.00487198355240263;0
"POU2F2";0;0.00603435620977075;0;0;0;0.00412508171554596;0;0;0;0.0124585690146676;0;0.00222105557322671;0;0;0;0;0.00509227375849667;0
"KLF2";0;0.0118793982028503;0;0;0;0;0;0;0;0;0;0;0;0;0.0232083802650485;0;0;0
"TFAP2A";0.0034487849670325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0772395471342315;0;0
"IRF9";0.00177229672186556;0;0;0.00228298316563504;0;0.00942462892621154;0.0257793729833278;0;0;0.00976407202102903;0;0;0;0;0.00924616782758086;0.00304818199530972;0;0.00142232881273254
"SP110";0.00378560292796189;0;0;0;0.0436041557761334;0.0120688812810198;0.0123364089615819;0;0;0.0210962895763602;0;0;0;0;0;0;0;0
"NOTCH4";0.00178029131035975;0;0.0370408077066198;0.00885773492431043;0.0103102029151955;0.00854379797555766;0;0;0;0.0034696597508054;0;0.00166020717531583;0;0;0.0405612884624975;0;0;0.00453064121020976
"RXRA";0.123329560381874;0;0;0;0;0;0;0;0.000215491710374315;0;0;0;0.0504832228383049;0.000887052183421563;0;0.00521053053047226;0.00110358550180963;0
"BARX2";0.012844348587905;0;0;0;0;0;0;0;0;0;0;0;0;0.00867007924892793;0;0.0574579847982459;0;0
"EBF1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FOXF1";0;0;0;0;0;0;0;0;0.0186106650746046;0;0;0;0;0;0;0;0;0
"FHL5";0;0;0;0;0.044461595772934;0;0.00841749410007698;0;0.030347181812649;0.010287720197629;0;0;0;0;0.0119189598968412;0;0;0
"EBF3";0;0;0;0;0;0;0;0;0;0;0;0.0890018349117985;0;0.00964618893579841;0;0;0;0
