gene ; activator ; inhibitor
ATP1A2 ; HLF CBX7 TBX4 LMO3 HAND2 MYOCD NR3C2 ; 
SLAMF6 ; MNDA SLA2 ZBTB32 TBX21 SNAI3 RUNX3 STAT4 SPI1 EOMES CIITA SP140 IRF8 TFEC FLI1 IRF4 ; 
CD84 ; MNDA SLA2 STAT4 SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 ; 
SLAMF1 ; MNDA FAIM3 STAT5A SLA2 IRF1 ZBTB32 TBX21 RUNX3 STAT4 FOXP3 SPI1 EOMES CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ZNF671 ; 
CD48 ; MNDA STAT5A SLA2 ZBTB32 TBX21 RUNX3 STAT4 SPI1 EOMES CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
SLAMF7 ; MNDA SLA2 TBX21 EOMES CIITA SP140 IRF8 TFEC IRF4 ; 
LY9 ; FAIM3 SLA2 ZBTB32 TBX21 SNAI3 SPI1 EOMES POU2AF1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
F11R ; ZDHHC13 ; 
ARHGAP30 ; MNDA LYL1 STAT5A SLA2 ZBTB32 TBX21 SNAI3 STAT4 SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
PVRL4 ; OVOL1 GRHL1 ELF3 KLF5 ZBTB7B HES1 GRHL3 TOB1 ; 
ADAMTS4 ; SNAI1 HIC1 HEYL NOTCH4 BCL6B NR4A1 EBF1 NR4A3 LDB2 EBF3 ; 
FCER1G ; MNDA SLA2 TBX21 STAT4 MAFB VENTX SPI1 CIITA IRF8 TFEC FLI1 IRF4 ; 
TOMM40L ; NR1I3 ; 
PCP4L1 ; BTG2 ; 
FCGR2A ; MNDA SLA2 VENTX SPI1 CIITA TFEC ; 
FCGR2B ; MNDA VENTX SPI1 IRF8 TFEC FLI1 IRF4 NR4A3 ; 
FCGR2C ; MNDA VENTX SPI1 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
FCGR3A ; MNDA SLA2 STAT4 VENTX SPI1 CIITA IRF8 TFEC ; 
FCRLB ; CEBPA ; 
OLFML2B ; AEBP1 MEIS3 ZNF469 PRRX2 BCL6B PRRX1 LZTS1 ; 
UHMK1 ; RBL1 BARD1 POLR1A BDP1 BBX RREB1 CLOCK ATF2 TAF1L SHPRH GTF2A1 ETV3 NCOA2 REST ZNF641 ASH1L APC ; 
DDR2 ; HIC1 CSDC2 ETV1 MITF PRRX1 TCF21 AFF3 TSHZ3 EBF1 LDB2 ZFPM2 NAP1L3 TCF4 ZNF366 RUNX1T1 ; 
RGS4 ; PRRX1 ; 
RGS5 ; SOX17 CSDC2 NOTCH4 BCL6B MEF2C KLF2 TCF21 FOXF1 AFF3 EBF1 LDB2 FHL5 TBX5 NAP1L3 LZTS1 HAND2 SOX5 MYOCD EBF3 ZNF423 RUNX1T1 ; 
NUF2 ; RAD51 FOXM1 PTTG1 TRIP13 MYBL2 ESPL1 MCM7 SUV39H2 TIMELESS HMGB2 RUVBL1 MCM2 BRCA1 DNMT1 WHSC1 ; 
UCK2 ; RUVBL1 ; ZNF441
TADA1 ; POGK ZNF507 ; 
