gene ; activator ; inhibitor
C1orf54 ; LYL1 TGFB1I1 SOX17 HEYL PTRF EBF1 LDB2 BCL6B KLF2 MEF2C HIC1 TCF21 MSC FLI1 AEBP1 PRRX2 ERG HAND2 CSDC2 PRRX1 TWIST1 ; 
RPRD2 ; BCOR ELF1 REST SHPRH ERCC6 TAF1 ZDHHC21 MKL2 EPC1 ETV3 ZNF397 ZKSCAN1 APC ASH1L ZNF641 ; 
ECM1 ; TGFB1I1 ZNF469 GLIS1 HEYL PTRF TWIST2 GLI2 ETV1 HIC1 TCF7L1 MSC KLF9 FOXF1 AEBP1 PRRX2 LZTS1 ZFPM2 HAND2 GLIS2 TSHZ3 CSDC2 PRRX1 TWIST1 TRPS1 ; 
CTSS ; ZNFX1 TRIM22 ; 
CTSK ; TGFB1I1 ZNF469 GLIS1 PTRF TWIST2 CREB3L1 GLI2 ETV1 HIC1 MSC AEBP1 PRRX2 ZFPM2 HAND2 GLIS2 TSHZ3 CSDC2 PRRX1 TWIST1 ; 
SCNM1 ; POLR2I ; AFF4
TNFAIP8L2 ; LYL1 SPI1 TBX21 IRF4 BIN1 SLA2 VENTX HIC1 STAT4 CIITA MSC FLI1 MNDA RUNX3 IRF8 TFEC AEBP1 FOXP3 PRRX1 ; 
ZNF687 ; ETV3 ; 
POGZ ; ZNF337 ZNF160 ZNF236 ZNF333 BTAF1 NR2C2 ZNF224 CRAMP1L MDM4 ZNF84 ZKSCAN1 ZNF169 ; 
SELENBP1 ; RORC ; 
S100A6 ; NME2 SPOCD1 ; DNMT1 GTF3C4 SCML2
S100A2 ; SPOCD1 ; 
S100A13 ;  ; ZNF551 ZBTB39
NPR1 ; TGFB1I1 SOX17 HEYL TAL1 FHL5 PTRF EBF1 LDB2 BCL6B KLF2 MEF2C HIC1 EBF3 MEOX1 MSC GATA6 FLI1 MEOX2 KLF9 FOXF1 AEBP1 LZTS1 TCF4 ERG ZFPM2 HAND2 CSDC2 PRRX1 ; 
ATP8B2 ; GLIS1 PTRF TWIST2 EBF1 GLI2 CREB5 KLF2 TBX5 BACH2 HIC1 NFATC1 MSC GATA6 LEF1 FOXF1 AEBP1 PRRX2 TCF4 ZFPM2 NAP1L3 EGR2 HAND2 GLIS2 TSHZ3 MITF RUNX1T1 CSDC2 PRRX1 TWIST1 TRPS1 ; 
SHE ; SOX17 HEYL TAL1 FHL5 PTRF EBF1 LDB2 GLI2 BCL6B CREB5 AFF3 KLF2 MEF2C HIC1 TCF21 EBF3 MEOX1 MSC GATA6 LEF1 FLI1 KLF9 FOXF1 AEBP1 LZTS1 TCF4 ERG ZFPM2 NAP1L3 NOTCH4 CSDC2 PRRX1 TWIST1 TRPS1 ; 
TDRD10 ; EBF1 KLF2 ; 
KCNN3 ; FLI1 FOXP3 PRRX1 ; 
CKS1B ; RAD51 MYBL2 ZNF695 PTTG1 MCM7 TRIP13 MCM2 FOXM1 MCM5 HMGB2 MCM6 ; 
KRTCAP2 ; TCEB2 NME2 ; ZNF689
MTX1 ; POLR2I ; 
SYT11 ; HEYL PTRF TWIST2 EBF1 BIN1 GLI2 CREB5 AFF3 MEF2C TBX5 BACH2 HIC1 PGR MEOX1 MSC GATA6 LEF1 FLI1 MEOX2 KLF9 FOXF1 AEBP1 LZTS1 TCF4 ERG ZFPM2 NAP1L3 HAND2 TSHZ3 HDAC9 TOX CSDC2 PRRX1 TWIST1 TRPS1 ; 
KIAA0907 ; ZNF337 IKBKB ZNF514 ZNF10 ZNF141 ZNF224 MDM4 ZNF84 ZNF169 ; 
RAB25 ; NR2F6 SPOCD1 ; DNMT1 MYBL1
MEX3A ; ZSCAN2 ; 
LMNA ; FOSL1 ; ZNF92
IQGAP3 ; FOXM1 ESPL1 HMGB2 BRCA1 EZH2 KNTC1 WHSC1 ; 
NES ; SOX17 HEYL PTRF EBF1 BCL6B KLF2 MEF2C ERG ; 
MRPL24 ; PPAN NME2 ; NCOA2 BACH1 ATF7IP
PEAR1 ; NOTCH4 ; 
ETV3L ; ETV3 ; 
FCRL5 ; SPI1 TBX21 IRF4 MSC MNDA IRF8 TFEC FOXP3 CSDC2 PRRX1 ; 
KIRREL ; TCF4 RUNX1T1 ZNF366 ; 
CD1D ; LYL1 SOX17 EBF1 LDB2 BCL6B CREB5 AFF3 KLF2 MEF2C VENTX HIC1 MEOX1 MSC FLI1 MNDA IRF8 ERG ; 
CD1E ; FOXP3 ; 
PYHIN1 ; SP140 GFI1 SPI1 TBX21 IRF4 SLA2 STAT4 CIITA MNDA RUNX3 IRF8 TFEC EOMES FOXP3 ; 
AIM2 ; IFI16 ; 
DARC ; SOX17 KLF2 MEOX1 FLI1 MEOX2 ; 
SLAMF8 ; SPI1 TBX21 SLA2 VENTX MNDA RUNX3 IRF8 TFEC AEBP1 FOXP3 CSDC2 PRRX1 ; 
ATP1A2 ; LDB2 MEF2C TBX4 ERG HAND2 ; 
PEA15 ; AEBP1 ; 
SLAMF6 ; SPI1 TBX21 IRF4 SLA2 STAT4 CIITA MNDA RUNX3 IRF8 TFEC EOMES FOXP3 ; 
CD84 ; SPI1 TBX21 SLA2 CIITA MNDA RUNX3 IRF8 TFEC TOX FOXP3 NFATC2 ; 
