gene ; activator ; inhibitor
GSTM5 ; HIC1 MEOX2 PRDM6 HAND2 TWIST2 AEBP1 TCF21 TBX5 CSDC2 NAP1L3 ; 
CSF1 ; IRF1 HIVEP3 SLA2 CIITA MNDA SPI1 STAT4 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 CREB5 FOXP3 ; 
KCNA3 ; SLA2 MNDA EOMES FLI1 IRF8 RUNX3 FOXP3 IRF4 ; 
CD53 ; LYL1 IRF1 SLA2 CIITA VENTX GFI1 MSC MNDA SPI1 EOMES STAT4 SP140 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 TNFAIP3 FOXP3 IRF4 EGR2 PRRX1 ; 
DENND2D ;  ; TRPS1
C1orf162 ; LYL1 SLA2 CIITA VENTX MSC MNDA SPI1 STAT4 TBX21 FLI1 PTRF IRF8 TFEC RUNX3 KLF2 FOXP3 AEBP1 IRF4 PRRX1 ; ZNF443
ADORA3 ; VENTX MSC MNDA SPI1 STAT4 TBX21 PTRF IRF8 TFEC RUNX3 AEBP1 PRRX1 ; 
RHOC ; PTRF ; 
LRIG2 ; REST BTAF1 ZNF623 ZNF81 GTF2A1 ZNF641 ZKSCAN1 ; 
PTPN22 ; ZBTB32 IRF1 SLA2 CIITA GFI1 MNDA SPI1 EOMES STAT4 SP140 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 TNFAIP3 FOXP3 IRF4 ; 
OLFML3 ; GATA6 ZNF469 VENTX GLIS1 MSC SPI1 HIC1 MEIS3 TGFB1I1 PTRF CREB3L1 KLF2 LDB2 TWIST1 PRRX2 GLIS2 TCF4 ZFPM2 TSHZ3 HAND2 TWIST2 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
DENND2C ; HES2 ; 
CASQ2 ; MYOCD ZFPM2 HAND2 AEBP1 CSDC2 ; 
CD2 ; ZBTB32 IRF1 SLA2 POU2F2 CIITA VENTX GFI1 MNDA SPI1 EOMES STAT4 SP140 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
PTGFRN ; HES2 ; 
CD101 ; SPI1 TBX21 ; 
TRIM45 ; ZSCAN16 ZFP62 SS18L1 ZNF554 ZNF84 ZNF443 ; 
MAN1A2 ; REST NCOA2 GTF2A1 ZNF641 ; 
FAM46C ; IRF4 ; 
WDR3 ; GTF2H3 POLR1B GTF3C4 ; 
BCL9 ; SALL2 ZNF627 ; 
FAM72B ; TRIP13 FOXM1 PTTG1 ESPL1 BRCA1 HMGB2 MCM2 EZH2 ; 
FAM72D ; FOXM1 ESPL1 MCM2 EZH2 WHSC1 ; 
FCGR1A ; IRF1 SLA2 CIITA VENTX MNDA SPI1 STAT4 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 PRRX1 ; 
FCGR1B ; IRF1 SLA2 CIITA VENTX MNDA SPI1 STAT4 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 PRRX1 ; ZNF443
FCGR1C ; IRF1 SLA2 CIITA VENTX MNDA SPI1 STAT4 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 AEBP1 PRRX1 ; 
GJA5 ; LDB2 AEBP1 CSDC2 PRRX1 ; 
LIX1L ; EBF1 BIN1 KLF9 MSC MNDA SPI1 HIC1 TGFB1I1 FLI1 PTRF IRF8 TFEC TSHZ3 AEBP1 CSDC2 PRRX1 ; 
NBPF10 ; NOTCH2 RBL1 ATF7IP HIVEP1 ATF2 REST NR2C2 EPC1 SHPRH ZNF623 CLOCK NCOA2 GTF2A1 ETV3 ZNF641 ; ZNF593
NBPF9 ; BDP1 NR2C2 CLOCK ZNF641 ; 
RNF115 ; STAT1 ; 
PLEKHO1 ; LYL1 EBF1 BIN1 VENTX MSC SPI1 MEF2C HIC1 MEOX2 TGFB1I1 PTRF TWIST1 AEBP1 PRRX1 NAP1L3 ; 
C1orf54 ; LYL1 MSC MNDA SPI1 MEF2C HIC1 TGFB1I1 FLI1 PTRF KLF2 LDB2 AEBP1 PRRX1 ; 
RPRD2 ; REST SHPRH ADNP ETV3 MKL2 ZKSCAN1 ; 
ECM1 ; ZNF469 GLIS1 PTRF TWIST1 TWIST2 AEBP1 PRRX1 ; 
ADAMTSL4 ; PTRF ; 
MCL1 ; STAT1 TNFAIP3 ; 
CTSS ; IRF1 CIITA TRIM22 ; 
CTSK ; ZNF469 GLIS1 MSC HIC1 MEIS3 TGFB1I1 TWIST1 PRRX2 ETV1 GLIS2 ZFPM2 TSHZ3 HAND2 TWIST2 AEBP1 CSDC2 PRRX1 ; 
FAM63A ; TBX3 ; 
TNFAIP8L2 ; LYL1 SLA2 POU2F2 CIITA BIN1 VENTX MSC MNDA SPI1 STAT4 SP140 TBX21 FLI1 PTRF IRF8 TFEC RUNX3 FOXP3 IRF4 ; 
ZNF687 ; ZKSCAN1 ; 
POGZ ; MDM4 BTAF1 SS18L1 ZNF10 ZNF14 ZNF141 ZNF224 ZNF248 ZNF225 ZNF611 ZNF566 ZNF518A ZNF333 ZNF84 ZNF441 ZKSCAN1 ZNF443 ; 
SELENBP1 ; RORC ; 
CGN ; ELF3 TOB1 ZNF440 ; 
TUFT1 ; ZNF440 ; 
S100A10 ; TEAD4 PTRF ; ZNF708 KLF15 ZNF627 ZNF253 ZNF443
SPRR1B ; HES2 ; 
S100A8 ; HES2 ; 
S100A9 ; BARX2 HES2 ; 
S100A14 ; BARX2 HES2 ; 
S100A13 ;  ; ZBTB39 SHPRH ADNP
NPR1 ; BCL6B EBF1 HEYL SOX17 MEF2C HIC1 MEOX2 KLF2 LDB2 ERG EBF3 ; 
ATP8B2 ; GLI2 HIC1 TCF4 ZFPM2 TSHZ3 BACH2 AEBP1 EGR2 CSDC2 PRRX1 NAP1L3 ; 
SHE ; BCL6B EBF1 HEYL NOTCH4 SOX17 FOXF1 MEF2C AFF3 MEOX1 HIC1 FLI1 FHL5 KLF2 LDB2 LEF1 TCF4 ERG HAND2 LZTS1 TCF21 EBF3 CSDC2 NAP1L3 ; 
KCNN3 ; POU2AF1 FOXP3 IRF4 PRRX1 ; 
CKS1B ; MYBL2 RAD51 FOXM1 PTTG1 MCM5 MCM7 MCM2 ; 
DPM3 ; SCAND1 ; GTF2H3 ASCC3 GTF3C4 GTF2A1
KRTCAP2 ; POLR2I ZNF688 ; GTF2H3 GTF3C4 ZNF689 CLOCK GTF2A1
HCN3 ; ZNF443 ; 
SYT11 ; EBF1 GLI2 MSC MEF2C HIC1 TGFB1I1 FLI1 IRF8 TCF4 ZFPM2 ERG TSHZ3 HAND2 TWIST2 LZTS1 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
KIAA0907 ; MDM4 ZNF195 BTAF1 ZNF224 ZNF248 ZNF302 ZNF169 ZNF518A ; 
MEX3A ; ZSCAN2 ZNF74 ; 
IQGAP3 ; FOXM1 BRCA1 EZH2 KNTC1 E2F7 WHSC1 ; 
GPATCH4 ; RUVBL1 ; 
NES ; BCL6B HEYL ; 
SH2D2A ; SLA2 SP140 TBX21 ; 
FCRL5 ; POU2AF1 FOXP3 IRF4 ; 
KIRREL ; ELK3 TSHZ3 ; 
CD1D ; VENTX NFATC1 MSC MNDA SPI1 MEF2C FLI1 PTRF IRF8 TFEC RUNX3 KLF2 CREB5 ERG IRF4 ; 
PYHIN1 ; ZBTB32 IRF1 SLA2 CIITA GFI1 MNDA SPI1 EOMES STAT4 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
AIM2 ; IFI16 TRIM22 STAT1 ; 
DARC ; SOX17 MEOX1 KLF2 ; 
FCRL6 ; SLA2 EOMES STAT4 TBX21 IRF8 TFEC ; 
SLAMF8 ; IRF1 SLA2 POU2F2 CIITA VENTX GFI1 MNDA SPI1 EOMES STAT4 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 AEBP1 IRF4 PRRX1 ; 
ATP1A2 ; MYOCD HAND2 TCF21 CSDC2 ; 
PEA15 ; AEBP1 PRRX1 ; 
SLAMF6 ; ZBTB32 IRF1 SLA2 POU2F2 CIITA MNDA SPI1 EOMES STAT4 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
CD84 ; SLA2 CIITA MNDA SPI1 EOMES STAT4 SP140 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 EGR2 ; 
SLAMF1 ; ZBTB32 IRF1 SLA2 CIITA VENTX GFI1 MNDA SPI1 EOMES STAT4 SP140 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
CD48 ; ZBTB32 IRF1 SLA2 CIITA GFI1 MNDA SPI1 EOMES STAT4 SP140 TBX21 FLI1 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
SLAMF7 ; SLA2 STAT4 POU2AF1 SP140 TBX21 TFEC RUNX3 IRF4 ; 
LY9 ; LYL1 SLA2 CIITA MNDA SPI1 EOMES STAT4 POU2AF1 SP140 TBX21 IRF8 TFEC RUNX3 FOXP3 IRF4 ; 
CD244 ; SLA2 ; 
